base_year,sector,industry,year,period_as_on,wri_index,updated_on
2016,Manufacturing Sector,Printing/Publishing,2024,1st January,606.5,2026-04-29
2016,Manufacturing Sector,Printing/Publishing,2024,1st January,175.4,2026-04-29
2016,Manufacturing Sector,Printing/Publishing,2024,1st January,180.1,2026-04-29
2016,Manufacturing Sector,Printing/Publishing,2024,1st January,175.4,2026-04-29
2016,Manufacturing Sector,Printing/Publishing,2024,1st January,161.0,2026-04-29
2016,Manufacturing Sector,Printing/Publishing,2024,1st January,218.0,2026-04-29
2016,Manufacturing Sector,Printing/Publishing,2024,1st January,146.0,2026-04-29
2016,Manufacturing Sector,Footwear,2024,1st January,143.4,2026-04-29
2016,Manufacturing Sector,Footwear,2024,1st January,125.5,2026-04-29
2016,Manufacturing Sector,Footwear,2024,1st January,142.8,2026-04-29
2016,Manufacturing Sector,Footwear,2024,1st January,134.2,2026-04-29
2016,Manufacturing Sector,Footwear,2024,1st January,143.6,2026-04-29
2016,Manufacturing Sector,Footwear,2024,1st January,128.5,2026-04-29
2016,Manufacturing Sector,Footwear,2024,1st January,110.3,2026-04-29
2016,Manufacturing Sector,Footwear,2024,1st January,131.4,2026-04-29
2016,Manufacturing Sector,Footwear,2024,1st January,131.7,2026-04-29
2016,Manufacturing Sector,Footwear,2024,1st January,101.6,2026-04-29
2016,Manufacturing Sector,Footwear,2024,1st January,104.6,2026-04-29
2016,Manufacturing Sector,Footwear,2024,1st January,126.4,2026-04-29
2016,Manufacturing Sector,Footwear,2024,1st January,157.6,2026-04-29
2016,Manufacturing Sector,Footwear,2024,1st January,183.6,2026-04-29
2016,Manufacturing Sector,Footwear,2024,1st January,164.7,2026-04-29
2016,Manufacturing Sector,Footwear,2024,1st January,185.3,2026-04-29
2016,Manufacturing Sector,Footwear,2024,1st January,92.7,2026-04-29
2016,Manufacturing Sector,Footwear,2024,1st January,169.0,2026-04-29
2016,Manufacturing Sector,Footwear,2024,1st January,280.8,2026-04-29
2016,Manufacturing Sector,Footwear,2024,1st January,191.4,2026-04-29
2016,Manufacturing Sector,Footwear,2024,1st January,301.7,2026-04-29
2016,Manufacturing Sector,Petroleum,2024,1st January,113.5,2026-04-29
2016,Manufacturing Sector,Petroleum,2024,1st January,212.5,2026-04-29
2016,Manufacturing Sector,Petroleum,2024,1st January,71.3,2026-04-29
2016,Manufacturing Sector,Petroleum,2024,1st January,144.8,2026-04-29
2016,Manufacturing Sector,Petroleum,2024,1st January,183.0,2026-04-29
2016,Manufacturing Sector,Petroleum,2024,1st January,153.3,2026-04-29
2016,Manufacturing Sector,Petroleum,2024,1st January,174.3,2026-04-29
2016,Manufacturing Sector,Petroleum,2024,1st January,230.0,2026-04-29
2016,Manufacturing Sector,Petroleum,2024,1st January,121.2,2026-04-29
2016,Manufacturing Sector,Petroleum,2024,1st January,143.4,2026-04-29
2016,Manufacturing Sector,Petroleum,2024,1st January,110.8,2026-04-29
2016,Manufacturing Sector,Petroleum,2024,1st January,109.5,2026-04-29
2016,Manufacturing Sector,Petroleum,2024,1st January,254.7,2026-04-29
2016,Manufacturing Sector,Petroleum,2024,1st January,328.2,2026-04-29
2016,Manufacturing Sector,Petroleum,2024,1st January,241.6,2026-04-29
2016,Manufacturing Sector,Petroleum,2024,1st January,174.5,2026-04-29
2016,Manufacturing Sector,Petroleum,2024,1st January,187.3,2026-04-29
2016,Manufacturing Sector,Chemicals & Gases,2024,1st January,189.0,2026-04-29
2016,Manufacturing Sector,Chemicals & Gases,2024,1st January,196.8,2026-04-29
2016,Manufacturing Sector,Chemicals & Gases,2024,1st January,255.0,2026-04-29
2016,Manufacturing Sector,Chemicals & Gases,2024,1st January,147.1,2026-04-29
2016,Manufacturing Sector,Chemicals & Gases,2024,1st January,210.2,2026-04-29
2016,Manufacturing Sector,Chemicals & Gases,2024,1st January,240.1,2026-04-29
2016,Manufacturing Sector,Chemicals & Gases,2024,1st January,0.0,2026-04-29
2016,Manufacturing Sector,Chemicals & Gases,2024,1st January,222.3,2026-04-29
2016,Manufacturing Sector,Chemicals & Gases,2024,1st January,161.7,2026-04-29
2016,Manufacturing Sector,Chemicals & Gases,2024,1st January,195.3,2026-04-29
2016,Manufacturing Sector,Chemicals & Gases,2024,1st January,285.3,2026-04-29
2016,Manufacturing Sector,Chemicals & Gases,2024,1st January,183.5,2026-04-29
2016,Manufacturing Sector,Chemicals & Gases,2024,1st January,194.1,2026-04-29
